"TABLE","SHORTCOLNAME (2005+)","SHORTCOLNAME >= 2006 (only if different)","SHORTCOLNAME >=2010 (only if different)","SHORTCOLNAME >=2013 (only if different)","Interesting Metric","LONGCOLNAME of interesting metric (2005+)","LONGCOLNAME of interesting metric >= 2006 (only if different)","LONGCOLNAME of interesting metric, >= 2007 (only if different)","LONGCOLNAME of interesting metric, >= 2010 (only if different)","LONGCOLNAME of interesting metric, >= 2013 (only if different)","NOTES"
"S101","HC01_EST_VC01",,,,"sex and age - total population","Total; Estimate; Total population",,,,,
"S101","HC01_EST_VC33",,"HC01_EST_VC35",,"sex and age - median age","Total; Estimate; Total population - SUMMARY INDICATORS - Median age (years)",,,"Total; Estimate; SUMMARY INDICATORS - Median age (years)",,
"S101","HC02_EST_VC01",,,,"sex and age - male","Total; Estimate; SUMMARY INDICATORS - Median age (years)",,,,,
"S101","HC03_EST_VC01",,,,"sex and age - female","Female; Estimate; Total population",,,,,
"S101","HC01_EST_VC03",,,,"sex and age - under 5 years","Total; Estimate; Total population - AGE - Under 5 years",,,"Total; Estimate; AGE - Under 5 years",,
"S101","HC01_EST_VC04",,,,"sex and age - 5 to 9 years","Total; Estimate; Total population - AGE - 5 to 9 years",,,"Total; Estimate; AGE - 5 to 9 years",,
"S101","HC01_EST_VC05",,,,"sex and age - 10 to 14 years","Total; Estimate; Total population - AGE - 10 to 14 years",,,"Total; Estimate; AGE - 10 to 14 years",,
"S101","HC01_EST_VC06",,,,"sex and age - 15 to 19 years","Total; Estimate; Total population - AGE - 15 to 19 years",,,"Total; Estimate; AGE - 15 to 19 years",,
"S101","HC01_EST_VC07",,,,"sex and age - 20 to 24 years","Total; Estimate; Total population - AGE - 20 to 24 years",,,"Total; Estimate; AGE - 20 to 24 years",,
,,,,,"sex and age - 25 to 34 years",,,,,,"10 year spans not available. See next two rows"
"S101","HC01_EST_VC08",,,,,"Total; Estimate; Total population - AGE - 25 to 29 years",,,"Total; Estimate; AGE - 25 to 29 years",,
"S101","HC01_EST_VC09",,,,,"Total; Estimate; Total population - AGE - 30 to 34 years",,,"Total; Estimate; AGE - 30 to 34 years",,
,,,,,"sex and age - 35 to 44 years",,,,,,"10 year spans not available. See next two rows"
"S101","HC01_EST_VC10",,,,,"Total; Estimate; Total population - AGE - 35 to 39 years",,,"Total; Estimate; AGE - 35 to 39 years",,
